Sample pair	miR-130ac/301ab/301b/301b-3p/454/721/4295/3666	miR-130ac/301ab/301b/301b-3p/454/721/4295/3666_3UTR	miR-518a-5p/527	miR-518a-5p/527_3UTR	miR-642b	miR-642b_3UTR	miR-142-5p	miR-142-5p_3UTR	miR-3148	miR-3148_3UTR	miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac_3UTR	miR-132/212/212-3p	miR-132/212/212-3p_3UTR	miR-205/205ab	miR-205/205ab_3UTR	miR-382	miR-382_3UTR	miR-19ab	miR-19ab_3UTR	miR-590-3p	miR-590-3p_3UTR	miR-144	miR-144_3UTR	miR-380/380-3p	miR-380/380-3p_3UTR	miR-200bc/429/548a	miR-200bc/429/548a_3UTR	miR-1953/3153	miR-1953/3153_3UTR	miR-653	miR-653_3UTR	miR-141/200a	miR-141/200a_3UTR	miR-1265	miR-1265_3UTR	miR-1244	miR-1244_3UTR	miR-561	miR-561_3UTR	miR-3936	miR-3936_3UTR	miR-129-5p/129ab-5p	miR-129-5p/129ab-5p_3UTR	miR-548abakhjiwy/548abcd-5p/559	miR-548abakhjiwy/548abcd-5p/559_3UTR	miR-519a/519bc-3p/291b-3p/1347	miR-519a/519bc-3p/291b-3p/1347_3UTR	miR-153	miR-153_3UTR	response
BH-A1EU	-0.746472312285	-0.0920295041182	-0.0610008923931	-0.116677443743	0.0	0.0438148749019	2.2630622003	-0.0695221555223	0.0	0.166969011822	0.968553212526	0.0432500074027	0.601832767211	0.136114030209	-0.759398067165	-0.105619444602	1.01162529922	-0.154322768485	-0.0916541114375	-0.0697179656628	0.363866529292	-0.0193752582785	1.60809102106	-0.0694728298444	9.69805068356	-0.154275815348	0.729315659315	-0.0358159651686	0.0	-0.00890809670387	1.21664261211	-0.165428830872	0.646125081096	-0.0543635580818	0.0	-0.035272211366	0.0	-0.0472331961426	-8.37293475495	-0.0440375420052	0.0	-0.109956948617	-0.323345907562	-0.0740299988658	-0.0610033632467	-0.095885002145	0.121292279844	0.00686269134071	0.872276182033	-0.00433581445148	-0.0202797658172
E9-A1NA	0.202232424495	0.252708341494	0.0	-0.223517518605	0.0	0.37735772927	1.06448746084	0.332287664747	0.0	0.794340260219	-9.1778646998	0.658494583547	-0.643288859675	0.921982628117	-4.63632226755	-0.0136948748863	0.375823328285	0.0523364264464	0.394093070145	0.22581105811	-0.268525806786	0.31339655045	-2.751847118	0.544252525988	0.0	0.168379399662	0.773496973561	0.381884458319	0.0	0.502708224125	-0.62370799169	0.0772237104132	1.69974940377	0.354260082071	0.0	0.544481005545	0.0	0.208523381846	0.299371843374	0.118710526002	0.0	0.167925919404	1.6604032634	0.463978220518	-9.46552120496	0.285710401968	-7.38662263409	0.368162853276	-0.772126738844	0.0927888960487	0.295010518938
AC-A23H	0.293144790959	-0.276711653276	0.0	-1.19124263833	0.0	0.28439781515	1.27780387839	-0.0647604666897	0.0	0.455470822469	-1.7712327162	0.024373048339	-0.379268716558	0.205943703275	-1.16689853952	-0.810204038366	0.187505057315	-0.441835921877	-0.123020124563	-0.318418682785	1.31802410795	-0.136223758297	-3.71104408212	-0.0687378750222	-0.00801579940108	-0.373664997385	0.549055168909	-0.183924015476	0.0	0.101864819322	0.0803925547571	-0.306695694711	1.73622378238	-0.167421191571	0.0	-0.570877397784	0.0	-0.503701892541	-8.27040991054	-0.490852270502	7.70297156445	-0.208112188389	2.17475086612	-0.0664080120062	1.37818241441	-0.133117288	-0.449740728786	-0.319896106604	0.853054006801	-0.512765552968	-0.336567672599
BH-A1EV	0.628795551549	0.180243390065	0.0	-0.0919848615062	0.0	0.760140361897	2.98552522326	0.416863290651	0.0	0.57067134154	-8.25771236584	0.209933554752	-0.223875621947	0.965454457244	0.722715262111	0.125210814451	0.420039932471	0.311743437289	1.72284269929	0.084584465904	2.35882138229	0.224440176184	-2.95035869046	0.230626421466	-9.35615180531	0.233071057473	1.18141218518	0.369976475632	0.0	0.56928474381	1.45575785442	0.132585569019	2.13043519805	0.275119210774	0.0	-0.586099620015	0.0	0.160970869061	-9.35615180531	0.197832462438	0.0	-0.221380497736	-2.04765430083	0.268229931264	0.350043310072	0.266245411552	9.70620848788	0.126004007539	0.900122148698	0.113649279228	-0.48784064461
BH-A18P	0.185122282463	0.331272155073	0.0	-0.010758963658	0.31702739411	0.653665372893	2.45081885821	0.237342650457	0.0	0.81483822257	-9.35819901266	0.322701050305	0.124412071744	0.989654977797	-0.958358564302	0.229995214722	0.854236230489	0.0445464035765	0.966440234429	0.194961764892	1.5408313171	0.183999044052	-2.48372818171	0.404553049447	8.57678575143	0.0840216249803	1.74423046751	0.35532851657	0.0	0.443564717227	0.183562491545	0.0612833214778	2.42468818569	0.226851760113	0.0	0.19739533916	0.0	0.31145245083	-8.95277746253	0.205686368302	0.0	0.494391890193	-0.375932668143	0.215720433273	1.0100803554	0.246135525902	-0.0883602999451	0.281101311054	0.272643455422	0.170830242033	-0.334757523591
BH-A1ET	-0.308316954466	0.236823061727	-8.10034959312	0.0699388356548	8.36509041321	0.312086708005	2.06945379298	0.135658213207	0.0	0.718901819128	8.36509041321	0.355823488681	0.0320597362155	0.674217910691	-1.02337993981	0.166289734932	0.200272955169	0.174213485979	0.112542821166	0.103025307228	1.16556653583	0.0952698790114	-1.14209706611	0.157767573972	0.0	0.0472982337205	1.2879004027	0.394328550706	0.0	0.512138746737	0.761237443319	-0.0264501259908	2.23871651378	0.140290345428	0.0	-0.0852798380923	0.0	0.24872427473	-8.10034959312	0.0525077313709	0.0	-0.000274451383955	-2.47581433837	0.192078118007	-9.19875957263	0.136547808786	0.0	0.171021442697	0.779264621914	0.307001441209	-0.0675789439921
E9-A1N4	-2.2579158376	-0.282575257648	-8.21282331556	-0.29378950209	0.0	-0.168061297054	0.643320753605	-0.356832027413	0.0	-0.609381307426	-8.90583355393	-0.040573103775	-0.402737912234	-0.0402352479327	-3.52690874092	-0.239609817836	-0.258351744056	-0.420813254506	-1.52496672769	-0.303972620254	-0.666628995789	-0.205587654024	1.71466866747	-0.20741449798	-8.43591154991	-0.360789855306	0.397983316716	-0.232588781097	0.0	-0.278975679917	-0.306221561593	-0.301154442551	0.665016721981	-0.224660243405	0.0	-0.67571048973	0.0	-0.331955855397	-8.43591154991	-0.188248732161	0.0	-0.194011160111	-1.10638853379	-0.361003448558	-9.82204319635	-0.334228597577	8.14777742683	-0.181978592876	-3.35880944938	-0.138943633532	0.231560809476
BH-A0C3	-0.202680621761	-0.348665954709	-0.345751203217	-0.678030512755	0.57035554655	-0.65427864836	1.07887262181	-0.328553946012	0.0	-0.301890022235	1.95649745826	-0.150384941363	0.422491354204	-0.340928547887	-1.79895542898	-0.432127541385	0.412283714607	-0.355740564768	-0.336957059134	-0.345252147838	-0.171425032821	-0.192403880477	-1.60337656032	-0.343762494292	0.0596794630371	-0.270056865256	0.107243627371	-0.286181791093	0.0	-0.317754575857	-1.43480233322	-0.332625368254	0.202515310095	-0.361289521992	0.0	-0.348648971473	0.0	-0.387416435684	-8.62701394541	-0.279600536534	0.0	-0.636372742441	0.570430632095	-0.34653452237	-1.82721521816	-0.275225314995	0.347324713267	-0.24241286237	-0.691731191146	-0.401436874295	0.770754315728
BH-A1EW	0.48761379854	-0.0672761112924	-8.41841099112	-0.142875703316	-7.72548455137	0.223405161072	2.11730025528	0.078713503059	0.0	0.14921031851	-1.05560346794	0.0755953064996	0.625046826536	0.226684783388	0.00726202475822	0.017169996363	0.305788985106	0.029525037043	0.734018133765	-0.0507023751669	0.869442877645	-0.00853634837055	-0.372815545314	-0.0436950915845	-8.41840878346	-0.0535616984944	0.694731962492	-0.104402462183	0.0	0.0522216876959	0.735941676109	0.024004477623	0.816788000759	0.0124295828949	0.0	-0.142450491039	0.0	-0.0972957026088	-7.72548455137	0.00120710449224	0.0	-0.168763423104	-2.68979338662	-0.0484850214771	0.330465044767	0.040316123713	8.05584321111	-0.0343559534436	0.844746638342	-0.118054110427	-0.231106410691
BH-A1FE	-0.533867496959	-0.0863390085397	-1.41956189303	-0.232795886384	0.0	0.0429864220921	1.94052042244	-0.072858819916	0.0	0.0452658246178	0.0842724578172	0.0150756520339	-0.217761593616	0.217688734824	-1.06811327389	-0.102275444115	0.757623378581	-0.106970381065	-0.223766929513	-0.11909995991	1.10954438346	-0.020300728988	-1.06311788657	-0.0752574778666	0.371917064148	-0.0828524719529	0.47274843309	-0.0830120304748	0.0	0.0338344147766	0.0205655016882	-0.157989857717	0.87672341085	-0.00643350004159	0.0	-0.369925943082	0.0	-0.0754349262657	-7.70748522794	-0.116471602139	0.0	-0.120954053731	-1.09423599563	-0.0399915245678	-0.321140476895	-0.0668185975699	-0.949698231054	-0.135247202167	-0.410310347984	-0.115019237242	-0.0133461260945
